Material Composition,EnergyAboveHull,Formation_energy,Paper citation
Ba2Y6Ni8O24,152.5708865,-1.38114738,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Y6Sc8O24,94.60256203,-2.93909071,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Y6Ti8O24,66.50124863,-2.781746417,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba2Y6V8O24,33.0048005,-2.36963354,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba3Bi1Pr4Co8O24,109.0334108,-1.372961253,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba3Bi4La1Fe8O24,171.9567027,-1.180790075,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba3Cd1Pr4Ni8O24,257.0759627,-0.96739269,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba3Cd4La1Fe8O24,258.6653096,-1.009429826,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba3Sn1Pr4Ni8O24,263.8395748,-1.047629357,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba3Sn4La1Fe8O24,285.9481644,-1.230692994,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba3Sr3La2Mn1Fe7O24,0,-2.224516947,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ba4Mn2Fe6O24,271.9065975,-0.931270106,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Bi4Fe8O24,187.3910463,-1.093093684,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Bi4Zr7Fe1O24,138.8928547,-2.19333335,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Co4Ni4O24,296.0959131,-0.941303789,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Co6Ni2O24,247.6849749,-1.03976982,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Co7Ni1O24,212.7566308,-1.099725711,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Fe1Co7O24,187.8944086,-1.181993887,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Fe1Ni7O24,332.2121369,-0.817964403,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Fe2Co6O24,205.5640304,-1.196702672,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Fe2Ni6O24,317.3568714,-0.902576579,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Fe8O24,163.1857492,-1.413634135,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn1Co7O24,180.6609581,-1.206799362,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn1Ni7O24,349.6054051,-0.823979378,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn2Co6O24,197.1241296,-1.240286623,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn2Ni6O24,346.0879077,-0.920662029,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn4Co4O24,195.6727542,-1.340436893,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn4Ni4O24,313.7228806,-1.122276581,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn6Co2O24,198.5926738,-1.432124414,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn6Fe2O24,192.0104175,-1.503463485,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn6Ni2O24,234.968862,-1.345693133,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn7Co1O24,206.6101336,-1.471410675,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn7Fe1O24,192.7127554,-1.51768646,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Mn7Ni1O24,213.3332277,-1.439660034,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Ni4Co4O24,330.9399131,-0.906459789,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Ni6Co2O24,364.7071013,-0.822637508,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ca4Ni7Co1O24,354.7377519,-0.779144367,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Cd4Fe8O24,278.9846652,-0.909699185,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Cd4Hf1Zr6Fe1O24,98.58075515,-2.235525477,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Cd4Zr7Fe1O24,151.5536712,-2.164019601,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ce4Mn8O24,119.1141677,-1.93635119,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Dy4Fe8O24,236.1773154,-1.617726328,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Dy4Mn8O24,137.4087125,-1.853918878,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Er4Mn8O24,150.9998764,-1.850509856,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Gd4Co8O24,130.5973922,-1.453169088,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Gd4Fe8O24,108.6668547,-1.714409621,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Gd4Mn8O24,105.6931653,-1.838973671,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ho4Fe8O24,254.2650505,-1.60510872,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Ho4Mn8O24,144.1945715,-1.85219302,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La1Mn8Zn3O24,244.5589337,-1.296833575,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La1Zn3Co8O24,259.7211261,-0.920564492,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La1Zn3Fe8O24,253.5848549,-1.157166775,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La1Zn3Ni8O24,0,-1.221324367,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La4Co8O24,117.6505299,-1.463276636,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La4Cr8O24,62.16796594,-2.053322947,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La4Fe6Co2O24,106.616452,-1.678054099,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La4Fe8O24,3.608107346,-1.824342919,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La4Ga8O24,169.7693805,-1.931469354,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La4Mn8O24,78.00949578,-1.88783422,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La4Ni8O24,210.8089291,-1.115862261,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La4Sc8O24,42.29589311,-2.806273091,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La4Ti8O24,13.80460838,-2.789404549,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4La4V8O24,79.64651974,-2.233025421,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Mg4Fe8O24,408.4885862,-1.117797642,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Nd4Fe8O24,122.3896631,-1.680338308,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Nd4Mn8O24,93.96023403,-1.848628108,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Co8O24,113.9014866,-1.431522921,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Cr8O24,100.4401946,-1.955067232,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Fe8O24,78.18172235,-1.716439704,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ga8O24,234.8007094,-1.827519139,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Hf4Co4O24,99.7625282,-2.305075518,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Hf4Fe4O24,0,-2.572224659,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Hf4Ni4O24,230.9219046,-2.073805955,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Hf6Co2O24,48.46453063,-2.742728066,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Hf6Fe2O24,139.7631331,-2.685304137,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Hf6Ni2O24,140.5385504,-2.611074285,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Hf7Co1O24,185.5245423,-2.775608965,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Hf7Fe1O24,197.2462569,-2.763887251,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Hf7Ni1O24,229.0646829,-2.732068825,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Mn6Co2O24,86.53565683,-1.752565983,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Mn6Cu2O24,132.1090243,-1.659871144,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Mn6Fe2O24,80.45910798,-1.831687054,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Mn6Ni2O24,112.573845,-1.676472702,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Mn8O24,53.54285953,-1.880636254,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Nb4Co4O24,52.02867683,-2.18843454,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Nb4Fe4O24,42.1689745,-2.257611932,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Nb4Ni4O24,134.5064424,-2.015248478,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Nb6Co2O24,251.360287,-2.190301975,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Nb6Fe2O24,211.4607162,-2.230201546,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Nb6Ni2O24,321.9895748,-2.122467444,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Nb7Co1O24,207.5157135,-2.248945942,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Nb7Fe1O24,202.6645534,-2.252596728,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ni8O24,214.3641691,-1.077502796,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Sc8O24,94.30190586,-2.718243626,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ta4Co4O24,39.9617942,-2.296131733,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ta4Fe4O24,31.5202492,-2.372322625,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ta4Ni4O24,139.3450813,-2.134894921,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ta6Co2O24,294.4157031,-2.290383014,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ta6Fe2O24,281.1024426,-2.300012335,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ta6Ni2O24,367.6244316,-2.222287483,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ta7Co1O24,280.8764698,-2.309389655,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ta7Fe1O24,286.014919,-2.29652069,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ta7Ni1O24,299.6924848,-2.291491514,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Ti8O24,11.5904985,-2.738592833,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4V8O24,57.14438148,-2.189203706,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Zr4Co4O24,77.8684422,-2.252837764,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Zr4Fe4O24,126.7773445,-2.350017906,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Zr4Ni4O24,199.6845686,-2.030911452,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Zr6Co2O24,47.36934588,-2.653410311,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Zr6Fe2O24,202.2839484,-2.532370382,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Zr6Ni2O24,128.4488656,-2.53275103,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Zr7Co1O24,165.7784332,-2.696801584,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Zr7Fe1O24,175.5693978,-2.68701062,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Pr4Zr7Ni1O24,211.4768238,-2.651103194,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sm4Fe8O24,157.7155851,-1.658645778,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sm4Mn8O24,107.9750668,-1.848396578,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sn4Fe8O24,468.0346095,-0.988624603,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sn4Hf1Zr6Fe1O24,85.23364294,-2.325448895,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sn4Zr7Fe1O24,137.1260589,-2.255023519,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Al1Fe7O24,127.825789,-1.525814779,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Al2Fe6O24,149.8500945,-1.610721839,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Al4Fe4O24,198.1066642,-1.775521959,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Al6Fe2O24,206.1582362,-1.976239579,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Al8O24,212.3025211,-2.174054949,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Co4Ni4O24,223.624761,-0.978963373,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Co6Ni2O24,182.220981,-1.078175154,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Co7Ni1O24,148.8738869,-1.136549795,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Co8O24,122.3160428,-1.188135186,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Cu8O24,288.4865628,-0.840356079,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe1Co7O24,120.4035296,-1.223204721,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe1Ni7O24,242.9654649,-0.861297737,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe2Co6O24,123.7540164,-1.253011256,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe2Cu6O24,253.560446,-0.983566989,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe2Ni6O24,228.1696994,-0.945850413,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe4Co4O24,126.79849,-1.316280827,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe4Cu4O24,218.9463975,-1.123257899,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe4Ni4O24,184.9014486,-1.120253015,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe6Co2O24,117.2491681,-1.385657648,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe6Cu2O24,151.7974405,-1.292659309,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe6Ni2O24,137.583441,-1.290163617,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe7Co1O24,117.2470591,-1.411828183,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe7Cu1O24,119.778837,-1.375804139,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe7Ni1O24,113.0921079,-1.374539043,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Fe8O24,92.54373354,-1.454165469,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Ga1Fe7O24,118.3026576,-1.465192461,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Ga2Fe6O24,145.1978317,-1.475083202,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Ga4Fe4O24,202.6896798,-1.491163186,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Ga6Fe2O24,251.7717436,-1.51144167,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Ga8O24,289.7129778,-1.532185904,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn1Co7O24,124.8425724,-1.238353946,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn1Fe7O24,97.91858002,-1.474952444,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn1Ni7O24,251.7034831,-0.875967962,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn2Co6O24,134.5996021,-1.281342207,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn2Fe6O24,104.3729715,-1.494398919,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn4Co4O24,138.0912258,-1.378549977,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn4Fe4O24,104.2442075,-1.537434869,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn4Ni4O24,199.5780955,-1.200445415,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn6Co2O24,165.1097297,-1.450745498,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn6Fe2O24,126.8181702,-1.548883319,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn6Ni2O24,180.0351679,-1.385764967,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn7Co1O24,162.7842126,-1.498302759,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn7Fe1O24,133.8833674,-1.556924544,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn7Ni1O24,160.4348067,-1.475624618,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Mn8O24,137.791901,-1.567360519,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Ni4Co4O24,227.717761,-0.974870373,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Ni6Co2O24,283.0424293,-0.858388842,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Ni7Co1O24,272.8715799,-0.815097201,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Ni8O24,296.6302304,-0.737876061,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4V8O24,66.96310632,-2.075277721,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Zn1Fe7O24,119.7749833,-1.411024259,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Zn2Fe6O24,150.4727082,-1.36429005,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Zn4Fe4O24,219.4021335,-1.263161132,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Zn6Fe2O24,294.893175,-1.152772713,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Sr4Zn8O24,377.5020086,-1.025792545,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Y4Co8O24,136.2529899,-1.467524611,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Y4Cr8O24,160.8491605,-1.958316172,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Y4Fe8O24,120.0264524,-1.723061144,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Y4Ga8O24,267.8544255,-1.845240579,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Y4Mn8O24,124.6308404,-1.853725944,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Y4Ni8O24,190.8708784,-1.160741736,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Y4Sc8O24,126.6161637,-2.741753566,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Y4Ti8O24,70.04323975,-2.735192273,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba4Y4V8O24,71.75494749,-2.238669896,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba5Bi2La1Fe8O24,127.3781892,-1.358503661,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba5Cd2La1Fe8O24,166.1874289,-1.260805286,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba5Sn2La1Fe8O24,276.0287208,-1.29794037,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Bi1La1Fe8O24,93.42580713,-1.443668329,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Bi2Fe8O24,129.3236717,-1.27956302,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Bi2Zr7Fe1O24,0.202289181,-2.532279186,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Ca2Fe8O24,118.3037635,-1.421432245,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Cd1La1Fe8O24,114.5546445,-1.390930141,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Cd2Fe8O24,175.5795965,-1.170088395,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Cd2Hf1Zr6Fe1O24,0,-2.536790687,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Cd2Zr7Fe1O24,59.1838239,-2.456707811,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Ce2Fe8O24,120.2148156,-1.627183623,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Dy2Fe8O24,121.3684215,-1.556909467,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Gd2Fe8O24,98.51156618,-1.564352738,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Hf2Mn6Zn2O24,219.4705308,-1.654004453,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Hf2Zn2Co6O24,245.6479886,-1.35564614,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Hf2Zn2Fe6O24,229.7901283,-1.535531352,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Hf2Zn2Ni6O24,396.8833354,-1.010474046,https://doi.org/10.1016/j.commatsci.2018.04.033
Ba6Ho2Fe8O24,129.1284141,-1.551884538,https://doi.org/10.1016/j.commatsci.2018.04.033
